date,price,last_update
2026-05-08,2.089,2026-05-08T12:07:33+02:00
2026-05-09,2.089,2026-05-09T12:06:59+02:00
2026-05-10,2.089,2026-05-10T12:07:04+02:00
2026-05-11,2.089,2026-05-11T12:07:47+02:00
2026-05-12,2.149,2026-05-12T12:07:27+02:00
2026-05-13,2.149,2026-05-13T12:07:37+02:00
2026-05-14,2.149,2026-05-14T12:07:09+02:00
2026-05-15,2.149,2026-05-15T12:05:47+02:00
2026-05-16,2.149,2026-05-16T12:07:45+02:00
2026-05-17,2.149,2026-05-17T12:07:17+02:00
2026-05-18,2.159,2026-05-18T12:05:23+02:00
2026-05-19,2.179,2026-05-19T12:07:54+02:00
2026-05-20,2.189,2026-05-20T12:07:16+02:00
2026-05-21,2.189,2026-05-21T12:07:26+02:00
2026-05-22,2.159,2026-05-22T12:07:20+02:00
2026-05-23,1.999,2026-05-23T09:31:33+02:00
2026-05-24,2.159,2026-05-24T12:07:43+02:00
2026-05-25,2.159,2026-05-25T12:07:35+02:00
2026-05-26,2.159,2026-05-26T12:07:31+02:00
2026-05-27,2.159,2026-05-27T12:07:47+02:00
2026-05-28,2.039,2026-05-28T12:07:05+02:00
2026-05-29,2.039,2026-05-29T12:07:08+02:00
2026-05-30,2.039,2026-05-30T12:07:25+02:00
2026-05-31,2.039,2026-05-31T12:07:16+02:00
2026-06-01,2.039,2026-06-01T12:07:49+02:00
