date,price,last_update
2026-04-01,2.159,2026-04-01T12:07:36+02:00
2026-04-02,2.279,2026-04-02T12:06:54+02:00
2026-04-03,2.209,2026-04-03T12:06:55+02:00
2026-04-04,2.219,2026-04-04T12:09:58+02:00
2026-04-05,2.259,2026-04-05T12:10:51+02:00
2026-04-06,2.239,2026-04-06T12:06:59+02:00
2026-04-07,2.239,2026-04-07T12:10:22+02:00
2026-04-08,2.229,2026-04-08T12:00:00+02:00
2026-04-09,2.179,2026-04-09T12:07:09+02:00
2026-04-10,2.169,2026-04-10T12:10:27+02:00
2026-04-11,2.159,2026-04-11T12:10:25+02:00
2026-04-12,2.159,2026-04-12T12:10:28+02:00
2026-04-13,2.219,2026-04-13T12:10:26+02:00
2026-04-14,2.169,2026-04-14T08:49:42+02:00
2026-04-15,2.139,2026-04-14T18:32:07+02:00
2026-04-16,2.139,2026-04-16T12:07:29+02:00
2026-04-17,2.129,2026-04-17T12:07:10+02:00
2026-04-18,2.129,2026-04-18T12:07:53+02:00
2026-04-19,2.129,2026-04-19T12:07:56+02:00
2026-04-20,2.149,2026-04-20T12:06:54+02:00
2026-04-21,2.149,2026-04-21T12:13:31+02:00
2026-04-22,2.169,2026-04-22T12:10:37+02:00
2026-04-23,2.219,2026-04-23T12:04:39+02:00
2026-04-24,2.299,2026-04-24T12:08:49+02:00
2026-04-25,2.249,2026-04-25T12:04:20+02:00
2026-04-26,2.269,2026-04-26T12:04:56+02:00
2026-04-27,2.279,2026-04-27T12:03:47+02:00
2026-04-28,2.329,2026-04-28T12:05:02+02:00
2026-04-29,2.359,2026-04-29T12:07:35+02:00
2026-04-30,2.329,2026-04-30T12:07:37+02:00
2026-05-01,2.119,2026-05-01T12:10:44+02:00
2026-05-02,2.119,2026-05-02T12:04:23+02:00
2026-05-03,2.119,2026-05-03T12:07:40+02:00
2026-05-04,2.189,2026-05-04T12:04:56+02:00
2026-05-05,2.189,2026-05-05T12:10:59+02:00
2026-05-06,2.139,2026-05-06T12:07:50+02:00
2026-05-07,2.129,2026-05-07T12:07:09+02:00
2026-05-08,2.149,2026-05-08T12:07:33+02:00
2026-05-09,2.149,2026-05-09T12:07:59+02:00
2026-05-10,2.149,2026-05-10T12:10:06+02:00
2026-05-11,2.179,2026-05-11T12:07:47+02:00
2026-05-12,2.179,2026-05-12T12:07:27+02:00
2026-05-13,2.169,2026-05-13T12:07:37+02:00
2026-05-14,2.199,2026-05-14T12:07:09+02:00
2026-05-15,2.219,2026-05-15T12:07:48+02:00
2026-05-16,2.199,2026-05-16T12:04:42+02:00
2026-05-17,2.199,2026-05-17T12:08:17+02:00
2026-05-18,2.229,2026-05-18T12:07:25+02:00
2026-05-19,2.239,2026-05-19T12:07:54+02:00
2026-05-20,2.219,2026-05-20T12:07:16+02:00
2026-05-21,2.219,2026-05-21T12:07:26+02:00
2026-05-22,2.189,2026-05-22T12:07:20+02:00
2026-05-23,2.189,2026-05-23T12:07:43+02:00
2026-05-24,2.189,2026-05-24T12:09:44+02:00
