date,price,last_update
2026-04-01,2.179,2026-04-01T06:52:20+02:00
2026-04-02,2.219,2026-04-02T12:15:06+02:00
2026-04-03,2.219,2026-04-03T12:00:00+02:00
2026-04-04,2.329,2026-04-04T12:13:06+02:00
2026-04-05,2.319,2026-04-05T12:05:46+02:00
2026-04-06,2.319,2026-04-06T12:00:00+02:00
2026-04-07,2.299,2026-04-07T12:18:31+02:00
2026-04-08,2.229,2026-04-08T12:00:00+02:00
2026-04-09,2.169,2026-04-09T12:14:19+02:00
2026-04-10,2.229,2026-04-10T12:10:27+02:00
2026-04-11,2.209,2026-04-11T12:11:26+02:00
2026-04-12,2.209,2026-04-12T12:07:25+02:00
2026-04-13,2.309,2026-04-13T12:14:32+02:00
2026-04-14,2.239,2026-04-14T12:14:51+02:00
