date,price,last_update
2026-04-01,2.178,2026-04-01T12:00:00+02:00
2026-04-02,2.018,2026-04-02T12:00:00+02:00
2026-04-03,2.268,2026-04-03T12:02:50+02:00
2026-04-04,2.228,2026-04-04T12:03:49+02:00
2026-04-05,2.238,2026-04-05T12:03:45+02:00
2026-04-06,2.238,2026-04-06T12:03:57+02:00
2026-04-07,2.088,2026-04-07T12:00:00+02:00
2026-04-08,2.238,2026-04-08T12:04:13+02:00
2026-04-09,2.238,2026-04-09T12:00:56+02:00
2026-04-10,2.188,2026-04-10T12:01:19+02:00
2026-04-11,2.188,2026-04-11T12:03:19+02:00
2026-04-12,2.028,2026-04-11T17:40:32+02:00
2026-04-13,1.998,2026-04-13T08:34:15+02:00
2026-04-14,2.218,2026-04-14T12:04:37+02:00
2026-04-15,2.218,2026-04-15T12:03:32+02:00
2026-04-16,2.218,2026-04-16T12:05:26+02:00
2026-04-17,2.218,2026-04-17T12:05:07+02:00
2026-04-18,2.218,2026-04-18T12:01:49+02:00
2026-04-19,2.158,2026-04-19T12:02:51+02:00
