date,price,last_update
2026-04-01,2.549,2026-04-01T12:05:33+02:00
2026-04-02,2.579,2026-04-02T12:06:54+02:00
2026-04-03,2.589,2026-04-03T12:06:55+02:00
2026-04-04,2.569,2026-04-04T12:06:56+02:00
2026-04-05,2.589,2026-04-05T12:04:45+02:00
2026-04-06,2.579,2026-04-06T12:06:59+02:00
2026-04-07,2.569,2026-04-07T12:07:20+02:00
2026-04-08,2.569,2026-04-07T12:07:20+02:00
2026-04-09,2.529,2026-04-08T15:21:45+02:00
2026-04-10,2.499,2026-04-10T12:04:21+02:00
2026-04-11,2.519,2026-04-11T12:07:23+02:00
2026-04-12,2.519,2026-04-11T12:07:23+02:00
2026-04-14,2.479,2026-04-13T16:51:03+02:00
2026-04-15,2.479,2026-04-14T13:24:23+02:00
2026-04-16,2.449,2026-04-15T16:21:52+02:00
2026-04-17,2.439,2026-04-16T12:05:26+02:00
2026-04-18,2.419,2026-04-17T12:05:07+02:00
2026-04-21,2.429,2026-04-20T13:51:40+02:00
2026-04-22,2.439,2026-04-22T12:07:35+02:00
