date,price,last_update
2026-04-01,2.169,2026-04-01T12:04:33+02:00
2026-04-02,2.229,2026-04-02T12:01:46+02:00
2026-04-03,2.229,2026-04-03T12:03:51+02:00
2026-04-04,2.279,2026-04-04T12:14:06+02:00
2026-04-05,2.259,2026-04-05T12:11:51+02:00
2026-04-06,2.309,2026-04-06T12:06:59+02:00
2026-04-07,2.309,2026-04-07T12:08:20+02:00
2026-04-08,2.309,2026-04-08T12:03:10+02:00
2026-04-09,2.229,2026-04-09T12:02:59+02:00
2026-04-10,2.159,2026-04-10T12:08:25+02:00
2026-04-11,2.069,2026-04-11T10:28:51+02:00
2026-04-12,2.189,2026-04-12T12:12:29+02:00
2026-04-13,2.229,2026-04-13T12:03:17+02:00
2026-04-14,2.229,2026-04-14T12:04:37+02:00
2026-04-15,2.229,2026-04-15T12:03:32+02:00
2026-04-16,2.229,2026-04-16T12:01:22+02:00
2026-04-17,2.209,2026-04-17T12:02:00+02:00
2026-04-18,2.209,2026-04-18T12:07:53+02:00
2026-04-19,2.069,2026-04-19T10:07:09+02:00
2026-04-20,2.139,2026-04-20T12:02:50+02:00
2026-04-21,2.199,2026-04-21T12:07:26+02:00
2026-04-22,2.179,2026-04-22T12:07:35+02:00
2026-04-23,2.189,2026-04-23T12:07:41+02:00
2026-04-24,2.229,2026-04-24T12:04:44+02:00
2026-04-25,2.229,2026-04-25T12:14:28+02:00
2026-04-26,2.209,2026-04-26T12:11:06+02:00
