date,price,last_update
2026-07-27,2.309,2026-07-27T11:59:48+02:00
2026-07-28,2.309,2026-07-27T11:59:48+02:00
2026-07-29,2.329,2026-07-29T12:00:59+02:00
2026-07-30,2.359,2026-07-30T12:02:34+02:00
2026-07-31,2.359,2026-07-31T12:01:28+02:00
2026-08-01,2.359,2026-08-01T12:01:23+02:00
2026-08-02,2.359,2026-08-02T12:01:50+02:00
2026-08-03,2.269,2026-08-03T12:00:52+02:00
2026-08-04,2.269,2026-08-04T12:01:47+02:00
2026-08-05,2.249,2026-08-05T12:02:00+02:00
2026-08-06,2.249,2026-08-06T12:00:20+02:00
2026-08-07,2.269,2026-08-07T12:00:28+02:00
2026-08-08,2.289,2026-08-08T12:00:45+02:00
2026-08-09,2.289,2026-08-09T12:01:11+02:00
2026-08-10,2.289,2026-08-10T12:02:09+02:00
2026-08-11,2.329,2026-08-11T11:59:52+02:00
2026-08-12,2.369,2026-08-12T12:00:46+02:00
2026-08-13,2.349,2026-08-13T12:02:23+02:00
2026-08-14,2.349,2026-08-14T12:01:28+02:00
2026-08-15,2.339,2026-08-15T12:01:23+02:00
2026-08-16,2.339,2026-08-16T12:02:25+02:00
2026-08-17,2.339,2026-08-17T12:01:08+02:00
2026-08-20,2.369,2026-08-20T12:00:26+02:00
2026-08-21,2.359,2026-08-21T12:00:56+02:00
2026-08-22,2.369,2026-08-22T12:01:45+02:00
2026-08-23,2.369,2026-08-23T12:01:58+02:00
2026-08-24,2.369,2026-08-24T12:02:22+02:00
